dataset_id,description,description_original,total_answered,total_answered_original,q1,q1_original,q2,q2_original,q3,q3_original,q4,q4_original
w7w3-xahh,"This dataset contains detailed information on issued business licenses in New York City, covering a wide range of business categories, including electronic cigarette dealers, home improvement contractors, and general vendors. Each entry includes unique identifiers such as license numbers and business unique IDs, along with essential details like business names, contact information, and addresses. The dataset spans from 1997 to 2025, providing a comprehensive view of the licensing landscape over time. It features various license statuses, indicating whether a license is active, expired, or suspended, which is crucial for consumers and businesses alike. The spatial data, including latitude and longitude, allows for geographic analysis of business distribution across the city. This dataset is valuable for city government agencies, researchers, and consumers seeking to understand business operations and compliance within New York City, facilitating informed decision-making and policy development.

Column constraints outlined in Data Dictionary:
business_category: Allowed values defined in Appendix 1
license_type: Allowed values: Organization, Individual
license_status: Allowed values: Active, Expired, Failed to Renew, Out of Business, Ready for Renewal, Revoked, Surrendered, Suspended
detail: This field is only populated for certain business categories; format varies based on business category
contact_phone: Format: Typically a ten-digit number; various formats accepted depending on international or regional coding; can be blank for individual licensees
address_type: Allowed values: Complete Address, Cross Street (Intersection), Block, Place (Landmark), P.O. Box; Not reported for individual applicants
address_building: Can be blank for individual licensees; can be blank for businesses described by a Landmark or Place Name, or by a street segment (blockface), and for P.O. Box addresses
address_street_name_2: Not reported for individual licensees; can be blank unless address type is Block or Cross Street (Intersection)
street3: Not reported for individual licensees; can be blank unless address type is Block
unit_type: Not reported for individual applicants
apt_suite: Not reported for individual applicants
address_city: Indicates the city of the mailing address for individual applicants
address_zip: Can be null for non-deliverable business locations; indicates the city of the mailing address for individual applicants
address_borough: Allowed values: Manhattan, Bronx, Brooklyn, Queens, Staten Island, Outside of NYC; Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will either show ""Outside NYC"" or be blank
community_board: Expected to be a three-digit number; Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
council_district: Expected to be a two-digit integer with a leading zero; Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
bin: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
bbl: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
nta: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
census_block_2010_: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
census_tract: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
latitude: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank
longitude: Not reported for individual licensees; P.O. Boxes and addresses outside of NYC will be blank","This dataset contains detailed information on various business licenses in New York City, including license numbers, business names, categories, and statuses. It features 100 unique entries, with data spanning from 2001 to 2025 for license creation dates and up to 2028 for expiration dates. The dataset includes spatial information such as addresses, boroughs, and geographic coordinates, making it useful for mapping and analysis. It can be utilized for research on business compliance, market analysis, and urban planning, providing insights into the distribution and status of licensed businesses across the city.",4,3,1,0,1,1,1,1,1,1
ci93-uc8s,"This dataset contains detailed information on certified minority-owned businesses, including their contact details, business descriptions, and contract experience. It features 11,516 unique entries, with data covering various aspects such as account numbers, vendor names, certifications, and project histories. The dataset includes temporal information, with establishment dates ranging from 1980 to 2023, and job experience dates extending to 2025. Spatial data is also provided, including addresses, boroughs, and geographic coordinates. This dataset can be utilized for research and analysis related to minority business participation in public contracts, helping organizations identify potential vendors for procurement opportunities. It serves as a valuable resource for policymakers, researchers, and businesses looking to engage with certified minority-owned enterprises, fostering economic empowerment and diversity in the marketplace.

Column constraints outlined in Data Dictionary:
account_number: integer; unique
vendor_formal_name: string; required
vendor_dba: string; optional
first_name: string; required
last_name: string; required
telephone: string; format: 10-digit number
business_description: string; required
certification: string; allowed values: MBE, WBE, NON-MINORITY; multiple values allowed
cert_renewal_date: date; format: MM/DD/YYYY; required
ethnicity: string; allowed values: BLACK, HISPANIC, ASIAN; required
address1: string; required
city: string; required
state: string; format: 2-letter state code; required
zip: string; format: 5-digit number; required
mailingaddress1: string; required
mailingcity: string; required
mailingstate: string; format: 2-letter state code; required
mailingzip: string; format: 5-digit number; required
website: string; optional; format: valid URL
date_of_establishment: date; format: YYYY-MM-DD; required
aggregate_bonding_limit: float; minimum: 0.0
signatory_to_union_contracts: string; allowed values: Yes, No; required
id6_digit_naics_code: string; format: 6-digit number; required
naics_sector: string; required
naics_subsector: string; required
naics_title: string; required
types_of_construction_projects_performed: string; optional
nigp_codes: string; optional; multiple values allowed
name_of_client_job_exp_1: string; required
largest_value_of_contract: float; minimum: 0.0
percent_self_performed_job_exp_1: float; range: 0.0 to 100.0; required
date_of_work_job_exp_1: date; format: YYYY-MM-DD; required
description_of_work_job_exp_1: string; required
name_of_client_job_exp_2: string; optional
value_of_contract_job_exp_2: float; minimum: 0.0; optional
percent_self_performed_job_exp_2: float; range: 0.0 to 100.0; optional
date_of_work_job_exp_2: date; format: YYYY-MM-DD; optional
description_of_work_job_exp_2: string; optional
name_of_client_job_exp_3: string; optional
value_of_contract_job_exp_3: float; minimum: 0.0; optional
percent_self_performed_job_exp_3: float; range: 0.0 to 100.0; optional
date_of_work_job_exp_3: date; format: YYYY-MM-DD; optional
description_of_work_job_exp_3: string; optional
capacity_building_programs: string; allowed values: Yes, No; required
enrolled_in_passport: string; allowed values: Yes, No; required
borough: string; required
latitude: float; range: -90.0 to 90.0; required
longitude: float; range: -180.0 to 180.0; required
community_board: float; required
council_district: float; required
bin: float; required
bbl: float; required
census_tract_2020_: float; required
neighborhood_tabulation_area_nta_2020_: string; required","This dataset focuses on Certified Minority Businesses, providing detailed information about various vendors, including their contact details, business descriptions, certifications, and project experiences. It encompasses a wide range of industries, from construction and educational services to food and technology. The dataset includes key attributes such as account numbers, business names, and geographic locations, allowing users to identify and connect with minority-owned enterprises across New York. This resource can be utilized for research, supplier diversity initiatives, and to promote economic empowerment within minority communities by facilitating access to these businesses for potential contracts and collaborations.",3,2,0,0,1,1,1,0,1,1
ptev-4hud,"This dataset contains detailed information on license applications submitted to the New York City Department of Consumer and Worker Protection (DCWP). It includes unique identifiers for each application, business names, and categories, as well as the status of applications, submission dates, and closure dates. The dataset spans from January 15, 2023, to March 26, 2026, providing a comprehensive view of the licensing process over time. It features various business types, including home improvement contractors, secondhand dealers, and sightseeing guides, among others. The dataset also includes spatial data such as addresses, boroughs, and geographic coordinates, allowing for geographic analysis of business locations. This information can be valuable for consumers seeking licensed services, researchers studying business trends, and city officials monitoring compliance with licensing regulations. Overall, it serves as a crucial resource for understanding the landscape of licensed businesses in New York City.

Column constraints outlined in Data Dictionary:
application_id: System generated alpha-numeric value; Unique identifier  
license_number: System generated alpha-numeric value; Can be null for pending, denied, or withdrawn applications  
business_unique_id: System generated alpha-numeric value; Unique identifier  
business_category: Allowed values as per Appendix 1: Business Categories  
application_type: Allowed values: New; Renewal  
license_type: Allowed values: Premises; Individual  
intake_channel: Allowed values: Phone, Email/Mail/Fax, Walk-In, Online, Hardcopy  
submission_date: Format: MM/DD/YYYY; System generated date  
date_closed: Format: MM/DD/YYYY  
status: Allowed values: Submitted; Additional Info Requested; Additional Info Received; FRU AIR Requested; FRU AIR Received; TOL Issued; Approved; Denied; Withdrawn; Closed  
temp_op_letter_issued: Format: MM/DD/YYYY; Not all license categories are eligible for Temporary Operating Letters  
temp_op_letter_expiration: Format: MM/DD/YYYY; Not all license categories are eligible for Temporary Operating Letters  
borough: Allowed values: Manhattan, Bronx, Brooklyn, Queens, Staten Island, Outside of NYC  
community_board: Expected to be a three-digit number where available  
council_district: Expected to be a two-digit integer with a leading zero: 01, 02, ..., 51  
zip: Can be null for non-deliverable business locations  
latitude: Can be null for businesses located outside of NYC  
longitude: Can be null for businesses located outside of NYC","This dataset contains detailed information on license applications, including unique identifiers, business names, and categories. It spans applications submitted from January 5, 2023, to March 19, 2026, with a variety of statuses such as approved and closed. The dataset includes spatial data like addresses, cities, and boroughs, as well as contact information for each business. It can be utilized for analyzing trends in business licensing, understanding the distribution of various business types across different regions, and assessing the efficiency of the application process. The semantic profile highlights the dataset's comprehensive coverage of both temporal and spatial dimensions, making it a valuable resource for researchers and policymakers.",3,3,0,0,1,1,1,1,1,1
9a87-6m4x,"This dataset focuses on Equal Opportunity Businesses, providing valuable insights into contracting opportunities across various locations. It includes detailed information such as the date of contract, contracting company, site address, borough, and representative contact details, with temporal coverage from December 18, 2022, to December 3, 2025. The dataset features 381 unique dates and 655 unique site addresses, ensuring a comprehensive overview of business activities. Spatial data is represented through latitude and longitude coordinates, allowing for precise geolocation. Additionally, the dataset includes various identifiers like zip codes, council districts, and census tracts, which can be useful for demographic analysis and aggregation. This information can aid in identifying potential partnerships and fostering inclusivity in the construction industry, aligning with initiatives like ICAP and SBS to promote equitable business practices. Overall, this dataset serves as a crucial resource for stakeholders seeking to engage with diverse contracting opportunities.","This dataset focuses on Equal Opportunity Compliance, providing valuable insights into contracting companies and their project locations across New York. It includes detailed information such as the date of contracts, company names, site addresses, boroughs, and contact details. The dataset spans from December 20, 2022, to October 29, 2025, with a wide range of unique values for each column, ensuring comprehensive coverage. It contains spatial data, including latitude and longitude coordinates, as well as demographic information through census tracts. This dataset can be utilized to analyze compliance with equal opportunity regulations and assess the distribution of contracts across different boroughs and districts.",3,2,0,0,1,1,1,1,1,0
kf2b-aeh5,"This dataset contains information about recruitment events held at various Workforce1 Career Centers in New York City from March 15 to March 19, 2020. It includes details such as the event date, check-in times, job titles, job families, and the companies conducting the recruitment. Each entry provides the qualifications required for the positions, along with the specific borough and address of the event location. The dataset features a diverse range of job families, including customer service and healthcare, with a total of 180 unique event titles and 141 different companies represented. This dataset can be utilized by job seekers to identify employment opportunities, by researchers analyzing job market trends, or by organizations looking to understand recruitment patterns in the area. Overall, it serves as a valuable resource for anyone interested in the dynamics of job recruitment events in New York City.

Column constraints outlined in Data Dictionary:
event_date: Date field in Microsoft Excel date format; must represent a valid date
check_in_from: Time field in Microsoft Excel time format; must represent a valid time
check_in_to: Time field in Microsoft Excel time format; must represent a valid time; must be later than check_in_from
job_family: Job families are from the 2010 Standard Occupation Classification (SOC) occupational listing at the US Bureau of Labor Statistics; must be a valid job family
location_name_and_address: Text field; must represent a valid address format","This dataset provides a schedule of recruitment events, detailing various job opportunities across different locations in New York City. It includes essential information such as event dates, check-in times, job titles, and required qualifications. The dataset covers events from March 15 to March 18, 2020, and features locations primarily in Queens and Manhattan. Each entry specifies the company hosting the event and the qualifications needed for applicants. This dataset can be utilized by job seekers to identify potential employment opportunities and by organizations to promote their recruitment events effectively.",2,2,0,0,1,1,1,1,0,0
5fn4-dr26,"This dataset contains detailed records of consumer protection violations related to various businesses in New York City, specifically focusing on enforcement charges issued by the Department of Consumer Affairs (DCA). It includes unique identifiers for each record, business names, categories, and inspection details, along with violation dates and specific charges. The dataset spans from July 18, 2023, to January 13, 2026, providing a comprehensive view of compliance issues over time. Users can analyze the frequency and types of violations, assess business compliance with regulations, and track outcomes of adjudications, such as guilty or not guilty findings. This information is valuable for researchers, policymakers, and consumer advocates aiming to enhance consumer protection and ensure businesses operate within legal standards. The dataset also allows for linking to other DCA datasets, facilitating broader analyses of business practices and regulatory enforcement in the city.

Column constraints outlined in Data Dictionary:
record_id: System generated alpha-numeric value; Unique identifier  
related_record_type: Allowed values: dcwp_inspectionrequest; dcwp_legal  
business_unique_id: System generated alpha-numeric value; Unique identifier  
certificate_of_inspection: System generated alpha-numeric value; Not populated for legal investigations  
inspection_number: System generated alpha-numeric value; Not usually populated for legal investigations  
noh_number: System generated alpha-numeric value  
violation_date: Format: MM/DD/YYYY  
cure_eligible: Allowed values: Yes; No; Null values interpreted as No  
cured: Allowed values: Yes; No; Blank values indicate pending resolution  
outcome: Allowed values: See Appendix 2: Outcomes; Blank values indicate pending resolution  
guilty: Expected value: Integer; Blank values indicate pending resolution  
not_guilty: Expected value: Integer; Blank values indicate pending resolution  
dismissed: Expected value: Integer; Blank values indicate pending resolution","This dataset focuses on consumer protection violations, specifically related to businesses in various categories, including tobacco and electronic cigarette dealers. It contains detailed records of inspections, including unique identifiers for businesses and inspection reports, violation dates, and specific charges related to non-compliance with health and safety regulations. The dataset spans from August 2023 to February 2026, providing a comprehensive view of enforcement actions over time. It can be utilized for analyzing trends in consumer protection violations, assessing compliance among businesses, and informing regulatory practices to enhance consumer safety and public health.",3,3,0,0,1,1,1,1,1,1
qcdj-rwhu,"This dataset contains detailed information on sidewalk café licenses issued by the Department of Consumer Affairs (DCA) in New York City. It includes unique identifiers for each license, the status of the licenses, and the names of the businesses involved, along with their locations, including building numbers, streets, cities, states, and zip codes. The dataset also provides measurements related to the café's size, such as square footage, number of tables, and chairs. Temporal data is included, covering application submission dates, status updates, and expiration dates, allowing for tracking of the licensing process over time. This dataset can be utilized by city government officials, researchers, and business owners to analyze trends in sidewalk café licensing, assess compliance with regulations, and support urban planning initiatives. It serves as a valuable resource for understanding the dynamics of outdoor dining spaces in the city.","This dataset contains information on Sidewalk Café Licenses, including details such as license numbers, business names, locations, and status updates. It features 100 unique entries, with data covering various aspects like the type of café, square footage, and seating arrangements. The dataset spans a temporal range from 2017 to 2022, providing insights into application statuses and expiration dates. It can be utilized for analyzing trends in sidewalk café licensing, understanding community impacts, and tracking compliance with local regulations. The semantic profile highlights key identifiers and measurements, making it a valuable resource for urban planning and business development studies.",3,3,0,0,1,1,1,1,1,1
jzhd-m6uv,"This dataset contains detailed records of business inspections conducted by the Department of Consumer and Worker Protection (DCWP) in New York City. It includes essential information such as the unique identification numbers for inspections and businesses, the date of each inspection, and the business names and categories. The dataset spans from July 23, 2023, to March 3, 2026, and covers various locations across the city, with latitude and longitude coordinates provided for precise mapping. Each record indicates the inspection type and status, allowing users to track compliance with regulations and identify potential violations. This dataset is valuable for researchers, policymakers, and consumers interested in understanding business compliance, enforcement actions, and industry standards within New York City. It can also be used to analyze trends in business inspections and assess the effectiveness of regulatory measures in promoting consumer safety and fair practices.

Column constraints outlined in Data Dictionary:
certificate_of_inspection: System generated alpha-numeric value; Required  
inspection_number: System generated alpha-numeric value; Required  
date_of_occurrence: Format MM/DD/YYYY; Required  
business_unique_id: System generated alpha-numeric value; Required  
dba_trade_name: Nullable; Only populated for businesses with a registered DBA or Trade Name  
business_category: Expected values as per Appendix 1: Business Categories; Required  
dcwp_license_number: Nullable; Only populated when a license is associated with the business during inspection  
inspection_type: Expected values as per Appendix 2: Inspection Types; Required  
inspection_status: Expected values as per Appendix 3: Inspection Statuses; Required  
noh_number: Nullable; Only populated when an inspection results in a violation  
address_type: Expected values: Complete Address; Cross Street (Intersection); Block; Required  
building_number: Nullable; For Cross-Street (Intersection) address types, may contain a corner designation  
street_2: Nullable; Only populated for Cross-Street (Intersection) and Block address types  
borough: Expected values: Manhattan, Bronx, Brooklyn, Queens, Staten Island, Outside of NYC; Required  
community_district: Nullable; Expected to be blank for businesses located outside of NYC  
city_council_district: Nullable; Expected to be blank for businesses located outside of NYC; Format: Two-digit integer with leading zero  
bin: Nullable; Expected to be blank for businesses located outside of NYC and for Cross Street (Intersection) and Block address types  
bbl: Nullable; Expected to be blank for businesses located outside of NYC and for Cross Street (Intersection) and Block address types  
nta: Nullable; Expected to be blank for businesses located outside of NYC and for Cross Street (Intersection) and Block address types  
latitude: Nullable; Expected to be blank for businesses located outside of NYC  
longitude: Nullable; Expected to be blank for businesses located outside of NYC","This dataset contains detailed records of business inspections, including information such as the certificate of inspection, inspection number, date of occurrence, and business details like name and category. It covers a temporal range from August 2023 to March 2026 and includes spatial data with latitude and longitude coordinates for precise location tracking. The dataset can be utilized for analyzing compliance with regulations, identifying trends in business operations, and assessing the status of various establishments across New York City. It serves as a valuable resource for researchers, policymakers, and public health officials interested in business oversight and community safety.",4,2,1,0,1,1,1,1,1,0
nre2-6m2s,"This dataset contains detailed records of consumer complaints submitted to the Department of Consumer Affairs (DCA) in New York City, covering various business practices across multiple categories. Each record includes a unique identifier, intake and result dates, complaint details, and the business involved, allowing for comprehensive tracking and analysis of consumer issues. The dataset spans from May 31, 2023, to January 13, 2026, and includes spatial data such as latitude and longitude for precise geolocation of businesses. With 114 business categories and 1,265 complaint codes, it provides insights into consumer experiences and regulatory compliance. This dataset can be utilized for research on consumer rights, business practices, and the effectiveness of complaint resolutions, making it a valuable resource for policymakers, researchers, and consumer advocacy groups. The information can help identify trends in consumer complaints and inform strategies for improving business accountability and consumer protection.

Column constraints outlined in Data Dictionary:
record_id: System generated alphanumeric value; Unique identifier  
intake_date: Format MM/DD/YYYY; Required  
_311_sr_number: System generated alphanumeric value; Populated only for complaints submitted through NYC311  
business_category: Allowed values as per Appendix 1; Required  
complaint_code: Allowed values as per Appendix 2; May have multiple selections; Missing values allowed  
result_date: Format MM/DD/YYYY; Required  
result: Allowed values as per Appendix 3; Required  
address_type: Allowed values: Complete Address, Cross Street (Intersection), Block, Place (Landmark), P.O. Box; Not reported for individual applicants  
building_nbr: Can be blank for businesses described by a Landmark or Place Name, or by a street segment; Typically contains specific corner for intersection addresses  
street2: Required only if address_type is Block or Cross Street (Intersection)  
street3: Required only if address_type is Block  
borough: Allowed values: Manhattan, Bronx, Brooklyn, Queens, Staten Island, Outside of NYC; Addresses outside of NYC will be blank  
community_board: Three-digit number where available; Blank for addresses outside of NYC or due to invalid address information  
council_district: Two-digit integer with leading zero (01, 02, ... 51); Blank for addresses outside of NYC or due to invalid address information  
bin: Blank for addresses outside of NYC or due to invalid address information  
bbl: Blank for addresses outside of NYC or due to invalid address information  
nta: Blank for addresses outside of NYC or due to invalid address information  
census_block_2010_: Blank for addresses outside of NYC or due to invalid address information  
census_tract_2010_: Blank for addresses outside of NYC or due to invalid address information  
latitude: Blank for addresses outside of NYC or due to invalid address information  
longitude: Blank for addresses outside of NYC or due to invalid address information","This dataset contains consumer complaints from New York City, specifically focusing on various business categories and complaint types. It includes detailed information such as intake and result dates, complaint codes, and business identifiers, allowing for comprehensive tracking and analysis of consumer issues. The dataset spans from June 2023 to March 2026, with spatial coverage across multiple boroughs in NYC, represented by latitude and longitude coordinates. It can be utilized for identifying trends in consumer complaints, assessing business compliance, and informing policy decisions to enhance consumer protection and service quality in the city.",4,4,1,1,1,1,1,1,1,1
6y5g-5hkj,"This dataset contains information about applicants on the General Vendor Waiting List, including their unique identification numbers, application order, priority rankings, names, and locations. It features 11,926 entries, with a diverse range of applicants from various cities and states across the U.S. The dataset tracks the status of each application, indicating whether applicants are awaiting selection, have been selected, or did not appear for their scheduled appointments. Key columns include the waiting list application number, application order number, and priority number, which help in identifying and ranking applicants. The selection date provides temporal context, covering a range from January 19, 2017, to July 11, 2023. This dataset can be utilized for analyzing trends in vendor license applications, understanding applicant demographics, and assessing the efficiency of the waiting list process. It serves as a valuable resource for policymakers and researchers interested in vendor licensing and urban commerce.

Column constraints outlined in Data Dictionary:
priority_number: Null values indicate ineligibility for the waitlist; Numeric values must be non-negative.
waiting_list_status: Allowed values include ""Application Voided"", ""Application Withdrawn"", ""Application Denied"", ""Applied for License"", ""Did Not Appear"", ""Awaiting Waitlist Selection""; Null values are allowed.
selection_date: Null values are allowed; Valid date format is ISO 8601 (YYYY-MM-DDTHH:MM:SS.sss).
license_application_id: Null values are allowed; This field is blank for applicants who have not submitted an application.","This dataset focuses on the Vendor License Waitlist, providing insights into applicants seeking vendor licenses. It includes key information such as application order numbers, priority rankings, and the status of each application, which can be used to analyze trends in vendor licensing. The dataset features 100 unique applications from various cities in New York, with a temporal coverage for selection dates ranging from August 30, 2018, to July 11, 2023. Each entry includes details about the applicant's name, city, state, and postal code, allowing for geographic analysis. The waiting list status indicates whether applicants are awaiting selection, have been selected, or did not appear for their appointment.",4,2,1,0,1,1,1,1,1,0
