dataset_id,description,description_original,total_answered,total_answered_original,q1,q1_original,q2,q2_original,q3,q3_original,q4,q4_original
f9bf-2cp4,"This dataset provides a comprehensive overview of SAT scores from various high schools in New York City, including key metrics such as the number of test takers and average scores in critical reading, math, and writing. It contains 478 unique school identifiers (dbn) and 175 unique values for the number of SAT test takers, reflecting a diverse range of educational institutions. Each entry includes the official school name and average scores, which can be used to assess academic performance across different schools. The dataset serves as a valuable resource for educators, policymakers, and researchers interested in understanding educational outcomes and trends in NYC. By analyzing this data, stakeholders can identify schools that excel or need improvement, ultimately contributing to lifelong learning initiatives and enhancing educational strategies in the region.

Column constraints outlined in Data Dictionary:
dbn: format must be a string of 9 characters, starting with a letter followed by 8 digits; uniqueness required  
num_of_sat_test_takers: integer; min value 0; max value 934  
sat_critical_reading_avg_score: integer; min value 321; max value 621  
sat_math_avg_score: integer; min value 318; max value 651  
sat_writing_avg_score: integer; min value 298; max value 638","This dataset provides detailed information on SAT scores from various high schools in 2012. It includes key metrics such as the number of SAT test takers and average scores in critical reading, math, and writing for each school. The dataset features 100 unique schools, identified by their unique DBN codes, and offers insights into educational performance across different institutions. It can be used to analyze trends in SAT performance, compare schools, and assess the effectiveness of educational programs. The data serves as a valuable resource for educators, policymakers, and researchers interested in understanding academic achievement in high schools.",2,2,0,0,1,1,0,0,1,1
s52a-8aq6,"This dataset provides a comprehensive overview of school demographics across various New York City schools for the academic years 2013-14 to 2017-18. It includes key information such as total enrollment figures, grade-specific enrollments, and demographic breakdowns by gender and race. The dataset also features data on students with disabilities, English language learners, and economic need, represented by the Economic Need Index, which estimates the percentage of students facing economic hardship. This index is calculated based on factors such as public assistance eligibility and family income levels in the student's census tract. With 1,844 unique school identifiers and a wide range of enrollment data, this dataset serves as a valuable resource for educators, policymakers, and researchers interested in understanding the demographic landscape of schools, assessing educational equity, and informing resource allocation decisions.

Column constraints outlined in Data Dictionary:
year: Range of possible values: 2013-14 through 2017-18; Required field; No Data is a valid entry  
total_enrollment: Required field; No Data is a valid entry  
grade_k: Required field; No Data is a valid entry  
grade_1: Required field; No Data is a valid entry  
grade_2: Required field; No Data is a valid entry  
grade_3: Required field; No Data is a valid entry  
grade_4: Required field; No Data is a valid entry  
grade_5: Required field; No Data is a valid entry  
grade_6: Required field; No Data is a valid entry  
grade_7: Required field; No Data is a valid entry  
grade_8: Required field; No Data is a valid entry  
grade_9: Required field; No Data is a valid entry  
grade_10: Required field; No Data is a valid entry  
grade_11: Required field; No Data is a valid entry  
grade_12: Required field; No Data is a valid entry  
hispanic_1: Required field; No Data is a valid entry  
multiple_race_categories_not_represented_1: Required field; No Data is a valid entry  
students_with_disabilities_2: Required field; No Data is a valid entry  
english_language_learners_2: Required field; No Data is a valid entry  
economic_need_index: Required field; No Data is a valid entry; Data is not available for 2013-14 school year","This dataset provides comprehensive school demographics data, including enrollment figures and student characteristics across various grades for multiple schools over several academic years. It includes key metrics such as total enrollment, gender distribution, racial and ethnic composition, and the number of students with disabilities and English language learners. The data can be utilized for analyzing trends in school demographics, assessing educational equity, and informing policy decisions. Each column represents specific attributes, such as school identifiers, grade levels, and demographic statistics, making it a valuable resource for researchers, educators, and policymakers interested in understanding the educational landscape.",4,3,1,0,1,1,1,1,1,1
ihfw-zy9j,"This dataset provides a comprehensive overview of school demographics across various educational institutions, covering school years from 2005-2006 to 2011-2012. It includes key metrics such as total enrollment, percentages of students eligible for free and reduced lunch, and counts of students in different grades, as well as demographic breakdowns by race and gender. The dataset features unique identifiers for each school, allowing for easy tracking and analysis of educational trends. It also captures the number of English language learners and students in special education, providing insights into the diverse needs of the student population. This information can be utilized for accountability purposes, policy-making, and research aimed at improving educational outcomes and promoting lifelong learning. Overall, the dataset serves as a valuable resource for educators, researchers, and policymakers interested in understanding and addressing the complexities of school demographics.

Column constraints outlined in Data Dictionary:
dbn: format must be a string of 9 characters, starting with a letter followed by 8 digits; uniqueness required  
name: required; format must be a string  
schoolyear: must be a 4-digit integer between 2005 and 2012, inclusive  
fl_percent: must be a numeric value between 0 and 100, inclusive; null values allowed  
frl_percent: must be a numeric value between 0 and 100, inclusive; null values allowed  
total_enrollment: must be a positive integer; null values allowed  
prek: must be a non-negative integer; null values allowed  
k: must be a non-negative integer; null values allowed  
grade1: must be a non-negative integer; null values allowed  
grade2: must be a non-negative integer; null values allowed  
grade3: must be a non-negative integer; null values allowed  
grade4: must be a non-negative integer; null values allowed  
grade5: must be a non-negative integer; null values allowed  
grade6: must be a non-negative integer; null values allowed  
grade7: must be a non-negative integer; null values allowed  
grade8: must be a non-negative integer; null values allowed  
grade9: must be a non-negative integer; null values allowed  
grade10: must be a non-negative integer; null values allowed  
grade11: must be a non-negative integer; null values allowed  
grade12: must be a non-negative integer; null values allowed  
ell_num: must be a non-negative integer; null values allowed  
ell_percent: must be a numeric value between 0 and 100, inclusive; null values allowed  
sped_num: must be a non-negative integer; null values allowed  
sped_percent: must be a numeric value between 0 and 100, inclusive; null values allowed  
ctt_num: must be a non-negative integer; null values allowed  
selfcontained_num: must be a non-negative integer; null values allowed  
asian_num: must be a non-negative integer; null values allowed  
asian_per: must be a numeric value between 0 and 100, inclusive; null values allowed  
black_num: must be a non-negative integer; null values allowed  
black_per: must be a numeric value between 0 and 100, inclusive; null values allowed  
hispanic_num: must be a non-negative integer; null values allowed  
hispanic_per: must be a numeric value between 0 and 100, inclusive; null values allowed  
white_num: must be a non-negative integer; null values allowed  
white_per: must be a numeric value between 0 and 100, inclusive; null values allowed  
male_num: must be a non-negative integer; null values allowed  
male_per: must be a numeric value between 0 and 100, inclusive; null values allowed  
female_num: must be a non-negative integer; null values allowed  
female_per: must be a numeric value between 0 and 100, inclusive; null values allowed","This dataset provides a comprehensive overview of school demographics, including enrollment figures and student population characteristics across various grades and school years. It contains key metrics such as the percentage of students eligible for free or reduced lunch, English Language Learners, and students with special education needs. The dataset includes unique identifiers for schools, allowing for easy aggregation and analysis over time. It can be utilized to assess educational equity, track changes in student demographics, and inform policy decisions aimed at improving educational outcomes. Overall, this dataset serves as a valuable resource for researchers, educators, and policymakers interested in understanding school demographics.",4,2,1,0,1,1,1,0,1,1
c7ru-d68s,"This dataset provides comprehensive demographic enrollment trends for various schools, capturing data from the 2017-18 to 2021-22 school years. It includes unique identifiers for each school, total enrollment figures, and detailed breakdowns by grade level, from pre-kindergarten through grade 12. The dataset also highlights the gender and racial composition of the student body, as well as the number of students with disabilities and English language learners. Additionally, it features indicators of economic need, such as the percentage of students qualifying for free or reduced-price lunch. This information can be invaluable for researchers, policymakers, and educators seeking to analyze enrollment patterns, assess educational equity, and develop targeted interventions to support diverse student populations. The dataset's rich semantic profile enhances its usability, allowing for in-depth analysis of demographic shifts and educational trends across different school environments.

Column constraints outlined in Data Dictionary:
year: Range of possible values: 2017-18 through 2021-22  
total_enrollment: Must be a non-negative integer  
grade_3k: Must be a non-negative integer  
grade_k: Must be a non-negative integer  
grade_1: Must be a non-negative integer  
grade_2: Must be a non-negative integer  
grade_3: Must be a non-negative integer  
grade_4: Must be a non-negative integer  
grade_5: Must be a non-negative integer  
grade_6: Must be a non-negative integer  
grade_7: Must be a non-negative integer  
grade_8: Must be a non-negative integer  
grade_9: Must be a non-negative integer  
grade_10: Must be a non-negative integer  
grade_11: Must be a non-negative integer  
grade_12: Must be a non-negative integer  
female: Must be a non-negative integer  
male: Must be a non-negative integer  
asian: Must be a non-negative integer  
black: Must be a non-negative integer  
hispanic: Must be a non-negative integer  
native_american: Must be a non-negative integer  
white: Must be a non-negative integer  
students_with_disabilities: Must be a non-negative integer  
english_language_learners: Must be a non-negative integer  
poverty: Must be a non-negative integer  
economic_need_index: Must be a percentage value (0% to 100%); May include values like ""Above 95%""","This dataset provides detailed information on demographic enrollment trends across various schools, capturing data from multiple academic years. It includes key metrics such as total enrollment, grade distributions, and demographic breakdowns by gender and ethnicity. The dataset features 98 unique school identifiers and spans five academic years, allowing for comprehensive analysis of enrollment patterns. It also highlights the number of students with disabilities and English language learners, offering insights into the diverse needs of the student population. This dataset can be utilized for research on educational equity, resource allocation, and understanding demographic shifts in school enrollments.",3,3,0,0,1,1,1,1,1,1
itfs-ms3e,"This dataset provides detailed information on Advanced Placement (AP) exam results across various schools, identified by unique school codes (dbn). It includes the number of students who have taken AP tests, the total exams taken, and the number of exams with scores of 3, 4, or 5, which are considered passing scores. The dataset features 257 unique school identifiers and captures a wide range of performance metrics, with the number of AP test takers ranging from 6 to over 2,100. Each school name is linked to its respective data, allowing for aggregation and analysis of performance trends. This dataset can be utilized for educational research, policy-making, and assessing the effectiveness of AP programs in fostering student achievement. It serves as a valuable resource for understanding how different schools support lifelong learning through advanced coursework.

Column constraints outlined in Data Dictionary:
schoolname: Required; Must be a string representing the name of the school  
ap_test_takers_: Must be a non-negative integer or null; Records with 5 or fewer students are suppressed","This dataset provides insights into AP exam results across various schools, featuring key metrics such as the number of AP test takers, total exams taken, and the number of exams scoring 3, 4, or 5. It includes 100 unique schools, identified by their DBN and names, with data on AP test participation and performance. The dataset can be utilized to analyze trends in AP exam participation and success rates, helping educators and policymakers assess academic performance and resource allocation in education. The data spans a range of values, offering a comprehensive view of AP exam outcomes in the educational landscape.",2,1,0,0,1,1,0,0,1,0
7z8d-msnt,"This dataset provides valuable insights into school attendance statistics across various districts, featuring data on year-to-date attendance and enrollment averages. It includes 35 unique districts, with attendance averages ranging from 63.81% to 93.34% and enrollment figures from 7,288 to over 1 million students. The dataset captures essential metrics such as the average attendance percentage, which reflects the engagement of students in their educational environment, and the enrollment average, which indicates the number of students enrolled in each district. The district column represents specific community districts, while the attendance and enrollment averages are measured over the year, making this dataset a crucial resource for analyzing educational trends and performance. Educators, policymakers, and researchers can utilize this information to identify areas for improvement, allocate resources effectively, and enhance overall educational outcomes within the school system.

Column constraints outlined in Data Dictionary:
ytd_attendance_avg_: value range (min: 63.81, max: 93.34, inclusive); format (numeric, two decimal places)  
ytd_enrollment_avg_: value range (min: 7288, max: 1002463, inclusive); format (integer)","This dataset provides valuable insights into school attendance statistics across various districts. It includes data on 35 unique districts, detailing their year-to-date average attendance and enrollment figures. The attendance averages range from 63.81 to 93.34, while enrollment figures vary significantly, with a maximum of 60,823 students. The dataset can be utilized to analyze trends in school attendance, assess the effectiveness of educational programs, and identify areas needing improvement. Additionally, it offers spatial data at the district level, making it useful for geographic analysis and policy-making in education.",1,1,0,0,1,1,0,0,0,0
kiyv-ks3f,"This dataset provides comprehensive information on Pre-K locations across New York City, including details such as location codes, boroughs, addresses, and contact information. It categorizes institutions by type, including Department of Education (DOE), Charter, and New York City Early Education Centers (NYCEEC). Each entry includes essential data points like the number of seats available, day length options, and meal provisions, making it a valuable resource for parents and educators seeking early childhood education options. The dataset also features geographic coordinates, allowing users to visualize the spatial distribution of these facilities. With 1,885 unique location codes and coverage across various boroughs, this dataset serves as a vital tool for understanding and accessing community-based early childhood education resources, supporting initiatives related to universal pre-K and enhancing educational planning and outreach efforts.

Column constraints outlined in Data Dictionary:
meals: Allowed values are 1 (Breakfast), 2 (Breakfast/Lunch), 3 (Breakfast/Lunch/Snacks), 4 (Breakfast/Snacks), 5 (Please contact site directly for information about meals), 6 (Lunch), 7 (Lunch/Snack), 8 (Snacks); Null values are allowed.  
indoor_outdoor: Allowed values are 1 (Indoor playspace), 2 (Indoor/Outdoor(off site) playspace), 3 (Indoor/Outdoor (on site) play space), 4 (Indoor/Outdoor (on site) playspace / Outdoor (off site) play space), 5 (Playspace not offered), 6 (Outdoor (offsite) playspace), 7 (Outdoor (on site) playspace), 8 (Outdoor (on site) playspace/Outdoor (off site) playspace); Null values are allowed.  
extended_day: Allowed values are 1 (Extended day offered), 2 (Extended day not offered), 3 (Please contact site directly for information about extended day); Null values are allowed.","This dataset is a comprehensive directory of Pre-K schools, providing essential information such as location codes, school types, boroughs, names, contact details, and addresses. It includes data on the number of seats available, meal offerings, and whether the programs are indoor or outdoor. The dataset also features spatial coordinates for precise geolocation, making it useful for mapping and analysis. With 100 unique entries, it serves as a valuable resource for parents, educators, and policymakers looking to explore early childhood education options in New York City. Additionally, it highlights community boards and census tracts, aiding in demographic analysis and community planning.",2,2,0,0,1,1,0,0,1,1
wg9x-4ke6,"This dataset provides comprehensive information on school locations within New York City for the fiscal year 2020. It includes details such as the school name, location codes, types of schools (e.g., elementary, high school, charter), and the grades offered. Each entry features essential data points like the principal's name and contact information, as well as the school's operational status and opening date. The dataset covers various administrative and geographical classifications, including community districts and council districts, which can be useful for educational planning and resource allocation. With a total of 2,131 unique entries, this dataset serves as a valuable resource for researchers, policymakers, and educators interested in analyzing school distribution, accessibility, and demographics across the city. It can also aid in identifying areas needing educational support and improving community engagement in local schools.

Column constraints outlined in Data Dictionary:
location_name: Alphanumeric or NULL  
managed_by_name: Allowed values: 00 - Unknown; 01 - DOE; 02 - Charter; 03 - Private; 04 - Religious; 05 - Non-DOE public; 06 - Community-Based Organization(Universal PK programs)  
location_type_description: Allowed values: 00 - Not Applicable; 01 - General Academic; 02 - Alternative; 03 - Special Education; 04 - Career Technical; 05 - Evening; 06 - Adult; 07 - Itinerant; 08 - Home School; 09 - Suspension Center; 10 - Transfer School; 11 - YABC; 98 - Custodial Payroll Only; 99 - Budget Only; NULL  
location_category_description: Allowed values: Early Childhood; Elementary; Junior High - Intermediate-Middle; Secondary School; High School; Collaborative or Multi-graded; K - 12 All grades; Ungraded; Central-HQ Citywide; Borough; Division; District; Cluster-network; Operational Center; K-8; Unknown; Community School District; ETS Vendor  
grades_text: Allowed values: PK - Pre-Kindergarten; OK - Kindergarten; 01-12 - First through Twelfth Grades  
grades_final_text: Allowed values: PK - Pre-Kindergarten; OK - Kindergarten; 01-12 - First through Twelfth Grades  
open_date: Date Format YYYY-MM-DD HH:MM:SS or NULL  
status_descriptions: Allowed values: A - Closed except for accounting; B - Open for Budget Only; C - Closed; I - Initiated, never opened; N - New, not open yet; O - Open; P - Closed except CPS payroll; NULL  
highschool_network_location: Allowed values: 01 HS01; 02 HS02; 03 HS03; 04 HS04; 05 HS05; 06 HS06; 07 HS07; 08 HS08; 09 HS09; 10 HS10; NULL","This dataset provides comprehensive information on school locations across New York City, including details such as fiscal year, location codes, names, types, and grades offered. It features data on 100 unique schools, with a temporal coverage spanning from 1900 to 2017, and spatial coordinates for precise mapping. The dataset includes contact information for school principals and administrative details, making it a valuable resource for educational planning, policy analysis, and community engagement. Users can leverage this data to assess school accessibility, analyze educational resources, and support decision-making in local education initiatives.",1,2,0,0,1,1,0,1,0,0
qybk-bjjc,"This dataset provides comprehensive information on school safety across various educational institutions in New York City, covering multiple school years. It includes key details such as school names, addresses, boroughs, and geographical district codes, allowing users to identify and analyze the safety landscape of different neighborhoods. The dataset features various metrics related to crime, including major crimes, property crimes, and non-criminal incidents, enabling stakeholders to assess safety trends and make informed decisions. Additionally, it contains spatial data, including latitude and longitude coordinates, which can be used for geographic analysis. The dataset serves as a valuable resource for educators, policymakers, and community organizations focused on enhancing school safety and fostering a secure learning environment. By examining this data, users can identify areas needing attention and develop strategies to improve safety measures in schools, ultimately contributing to the well-being of students and staff.

Column constraints outlined in Data Dictionary:
borough_name: allowed values are Brooklyn, Bronx, Manhattan, Queens, Staten Island","This dataset provides comprehensive information on school safety across various locations in New York City, covering multiple school years. It includes details such as building codes, addresses, boroughs, and the number of schools within each building. The dataset also features key metrics related to safety, including counts of major incidents, other incidents, and crime statistics, allowing for in-depth analysis of school safety trends. With spatial data represented by latitude and longitude, users can visualize and assess safety conditions geographically. This dataset is valuable for educators, policymakers, and researchers focused on improving school safety and community well-being.",2,2,0,0,1,1,0,0,1,1
k8ah-28f4,"This dataset provides detailed information on SHSAT admissions data for various NYC public schools, covering the years from 2021 to 2024. It includes unique identifiers for each school, the names of the schools, and key metrics such as the number of students in high school, the number of students who took the SHSAT, the number of offers made to students for specialized high schools, and the number of participants in the Discovery Program. The dataset contains 721 unique school identifiers and various counts related to student participation and admissions, making it a valuable resource for analyzing trends in SHSAT admissions and understanding the performance of different feeder schools. This data can be used by educators, policymakers, and researchers to evaluate the effectiveness of admissions processes and to identify opportunities for improving access to specialized high schools in New York City.

Column constraints outlined in Data Dictionary:
year: integer; range: 2022-2025  
feeder_school_dbn: string; format: ""XX000"" (where X is a letter and 0 is a digit)  
count_of_students_in_hs: integer; range: 0-301  
count_of_testers: integer; range: 0-143  
number_of_offers: integer; range: 0-79  
number_of_discovery_participants: integer; range: 0-12","This dataset focuses on high school admissions, providing valuable insights into the feeder schools and their student populations. It includes data on the number of students in high schools, the count of testers, and the number of offers made, which can be used to analyze trends in admissions and student participation. The dataset spans four years, from 2022 to 2025, and features 93 unique feeder schools, each identified by a unique DBN. The quantitative measures allow for aggregation and comparison, making it a useful resource for educators, policymakers, and researchers interested in understanding high school admissions dynamics.",3,2,0,0,1,0,1,1,1,1
