dataset_id,description,description_original,total_answered,total_answered_original,q1,q1_original,q2,q2_original,q3,q3_original,q4,q4_original
43nn-pn8j,"This dataset provides detailed information on restaurant inspection violations across various boroughs, including Manhattan, Brooklyn, Queens, the Bronx, and Staten Island. It includes unique identifiers for each establishment, such as the CAMIS number, along with the name, address, and contact information. The dataset covers a wide range of cuisines and highlights critical and non-critical violations, along with their descriptions and associated scores. Temporal coverage spans from March 2022 to March 2026, while spatial data includes precise latitude and longitude coordinates for each location. This dataset can be utilized for monitoring food safety compliance, analyzing trends in restaurant inspections, and identifying areas for improvement in public health standards. It serves as a valuable resource for researchers, policymakers, and the general public interested in food safety and restaurant quality.","This dataset contains information on restaurant inspection violations across various boroughs, including Manhattan, Brooklyn, Queens, Staten Island, and the Bronx. It features unique identifiers for each establishment, such as the CAMIS number, and includes details like the name, address, cuisine type, and contact information. The dataset spans inspection dates from 2018 to 2026, providing insights into compliance with health regulations. It categorizes violations by severity, indicating critical and non-critical issues. This dataset can be utilized for monitoring food safety standards, identifying trends in violations, and enhancing public awareness regarding restaurant hygiene practices.",3,3,0,0,1,1,1,1,1,1
jb7j-dtam,"This dataset provides comprehensive information on the leading causes of death in the United States from 2007 to 2021, categorized by year, sex, and race/ethnicity. It includes key metrics such as the number of deaths, death rates, and age-adjusted death rates, allowing for detailed analysis of mortality trends across different demographic groups. The dataset features 15 unique years and covers various medical conditions, including mental health disorders, chronic diseases, and accidents. Each entry represents a specific cause of death, with counts and rates that facilitate comparisons and insights into public health issues. The data can be utilized for research, policy-making, and healthcare planning, helping to identify high-risk populations and inform strategies to reduce mortality rates. Overall, this dataset serves as a vital resource for understanding the dynamics of health and mortality in diverse communities.

Column constraints outlined in Data Dictionary:
year: integer; range: 2007-2016  
leading_cause: string; allowed values: Top 10 leading causes of death  
sex: string; allowed values: Male, Female  
race_ethnicity: string; allowed values: Hispanic, Asian and Pacific Islander, Non-Hispanic White, Non-Hispanic Black, Other Race/Ethnicity, Not Stated/Unknown  
deaths: integer; counts under 5 are suppressed; null values allowed  
death_rate: float; unit: per 100,000 population; rates with relative standard error (RSE) >30 are suppressed; null values allowed  
age_adjusted_death_rate: float; unit: per 100,000 population; rates with relative standard error (RSE) >30 are suppressed; null values allowed","This dataset provides comprehensive information on the leading causes of death in New York City, covering the years from 2006 to 2020. It includes data on various demographic factors such as sex and race/ethnicity, allowing for detailed analysis of health disparities. The dataset features key measurements like the number of deaths, death rates, and age-adjusted death rates, which are essential for statistical analysis in healthcare. Researchers and public health officials can utilize this dataset to identify trends, assess the impact of health interventions, and develop strategies to address the leading causes of mortality in the city.",1,2,0,0,1,1,0,1,0,0
rc75-m7u3,"This dataset provides comprehensive COVID-19 statistics, including daily counts of confirmed cases, probable cases, hospitalizations, and deaths across various regions. The data spans from April 2, 2020, to September 9, 2025, with a total of 2,054 unique dates recorded. Key metrics include case counts, hospitalization rates, and death counts, along with their respective 7-day averages, allowing for detailed trend analysis. The dataset is structured to facilitate healthcare research, public health monitoring, and policy-making, offering insights into the progression of the pandemic. Each column represents specific measurements relevant to healthcare, such as case counts and hospitalization rates, which are crucial for understanding the impact of COVID-19 on communities. This dataset can be utilized by researchers, public health officials, and policymakers to inform decisions and strategies in response to the ongoing pandemic.","This dataset provides comprehensive COVID-19 statistics, including daily counts of confirmed cases, probable cases, hospitalizations, and deaths across various regions. It spans from April 2, 2020, to October 4, 2025, offering valuable insights into the pandemic's progression over time. The dataset includes key metrics such as 7-day averages for case counts and hospitalizations, allowing for trend analysis. It can be utilized by researchers, public health officials, and policymakers to monitor the impact of COVID-19, assess healthcare resource needs, and inform decision-making processes. The data is structured to facilitate easy aggregation and analysis for various healthcare contexts.",2,2,0,0,1,1,1,1,0,0
nu7n-tubp,"This dataset contains information on dog licenses issued in New York City, featuring a total of 33,636 unique dog names and 1,595 distinct breeds. It includes key details such as the dog's gender, birth year, and the owner's zip code, allowing for comprehensive analysis of pet demographics across the city. The dataset spans from 2015 to 2024, with license issuance and expiration dates providing temporal context for each entry. The data can be utilized for various purposes, including tracking pet ownership trends, understanding breed popularity, and assessing the distribution of dog licenses by geographic area. Additionally, the dataset's semantic profile highlights the classification of dogs by gender and breed, as well as the temporal aspects of license issuance and expiration, making it a valuable resource for researchers, policymakers, and animal welfare organizations interested in canine demographics and licensing practices in NYC.

Column constraints outlined in Data Dictionary:
animalname: required; string format
animalgender: allowed values: {M, F}
animalbirth: integer; value range: 2002 to 2023
breedname: string format
zipcode: numeric; value range: 10000 to 11599; null values allowed","This dataset contains information on dog licenses issued in New York City, featuring details such as the animal's name, gender, birth year, breed, and associated zip code. It includes 100 unique entries, with data spanning from 2002 to 2024. The dataset provides insights into the demographics of licensed dogs, including 53 different breeds and 59 zip codes. The license issuance and expiration dates are recorded with weekly resolution, allowing for temporal analysis. This dataset can be utilized for understanding pet ownership trends, breed popularity, and geographic distribution of licensed dogs in NYC.",2,2,0,0,1,1,1,1,0,0
25th-nujf,"This dataset provides insights into baby name popularity from 2011 to 2021, capturing various demographic factors such as gender and ethnicity. It includes 3,302 unique names, with data categorized by birth year, gender, ethnicity, count of occurrences, and rank. The birth year serves as a temporal reference, allowing for analysis of trends over time. Gender and ethnicity classifications enable a deeper understanding of naming patterns across different demographics. The count reflects the frequency of each name, while the rank indicates its popularity relative to others. This dataset can be utilized for research in social trends, cultural studies, and marketing strategies, helping to identify shifts in naming preferences and their correlation with demographic changes. Overall, it serves as a valuable resource for anyone interested in the dynamics of baby names and their societal implications.","This dataset provides insights into baby name popularity, capturing various attributes such as birth year, gender, ethnicity, name, count, and rank. It includes data from 2011 to 2021, with a total of 100 unique entries. The dataset categorizes names by gender and ethnicity, allowing for demographic analysis. The count reflects the frequency of each name, while the rank indicates its popularity relative to others. This information can be valuable for understanding naming trends, cultural influences, and shifts in societal preferences over time, making it a useful resource for researchers, marketers, and parents alike.",2,2,0,0,1,1,1,1,0,0
uiay-nctu,"This dataset focuses on the Open Streets Initiative, which aims to enhance pedestrian and cyclist access in urban areas by temporarily closing streets to vehicular traffic. It includes detailed information about various open streets programs across New York City, covering aspects such as the organization responsible, street names, boroughs, operational days, and hours of operation. The dataset contains 391 unique entries, with data spanning from December 31, 2023, to December 31, 2024, providing a comprehensive view of the initiative's temporal coverage. Each entry includes identifiers for streets and segments, as well as geometric data for spatial analysis. This dataset can be utilized for urban planning, community engagement, and promoting social distancing measures by facilitating safe walking and cycling environments. It serves as a valuable resource for researchers, city planners, and community organizations interested in improving public spaces and promoting active transportation.

Column constraints outlined in Data Dictionary:
object_id: Unique identifier; must be a sequential number auto-generated by ESRI  
boroughname: Allowed values are Manhattan, Bronx, Brooklyn, Queens, Staten Island  
apprdayswe: Allowed values are mon, tue, wed, thu, fri, sat, sun; values may be comma-separated  
apprmonope: Format must be HH:MM (24 hours)  
apprmonclo: Format must be HH:MM (24 hours)  
apprtueope: Format must be HH:MM (24 hours)  
apprtueclo: Format must be HH:MM (24 hours)  
apprwedope: Format must be HH:MM (24 hours)  
apprwedclo: Format must be HH:MM (24 hours)  
apprthuope: Format must be HH:MM (24 hours)  
apprthuclo: Format must be HH:MM (24 hours)  
apprfriope: Format must be HH:MM (24 hours)  
apprfriclo: Format must be HH:MM (24 hours)  
apprsatope: Format must be HH:MM (24 hours)  
apprsatclo: Format must be HH:MM (24 hours)  
apprsunope: Format must be HH:MM (24 hours)  
apprsunclo: Format must be HH:MM (24 hours)  
lionversion: Format must be a string like ""XXA"", where XX is a two-digit year and A is a quarter designation (A, B, C, D)","This dataset focuses on Open Streets initiatives in New York City, detailing various street closures and their operational hours. It includes information such as the organization responsible, street names, boroughs, and the days of the week when the streets are open. The dataset spans from January 9, 2024, to June 26, 2025, providing a comprehensive view of the program's temporal coverage. Each entry is uniquely identified by an object ID, and the dataset contains spatial data for precise location mapping. This information can be utilized for urban planning, community engagement, and enhancing public awareness of Open Streets events.",3,2,0,0,1,1,1,1,1,0
csut-3wpr,"This dataset provides insights into community health trends among adults in New York City, focusing on various health metrics over the years from 2010 to 2020. It includes prevalence data, along with lower and upper confidence intervals for ten different health-related questions, allowing for a comprehensive analysis of health trends. The dataset features 11 unique years, with prevalence values ranging from 10.0 to 22.2 across different health indicators. Each question (q_1 to q_10) captures specific health metrics, making it a valuable resource for public health research and policy-making. The temporal coverage of the dataset allows researchers to track changes over time, providing essential context for understanding health dynamics in urban populations. This dataset can be utilized to inform public health initiatives, evaluate the effectiveness of health programs, and identify areas needing attention in community health.","This dataset provides insights into community health trends, focusing on the prevalence of various health metrics from 2010 to 2020. It includes annual data on ten different quantitative measures, represented as q_1 through q_10, which capture a range of health-related statistics. Each entry includes the prevalence rates along with their corresponding lower and upper 95% confidence intervals, allowing for a comprehensive understanding of health trends over time. This dataset is valuable for researchers and policymakers in the healthcare sector, as it aids in analyzing changes in community health and identifying areas that may require intervention or further study.",2,2,0,0,1,1,1,1,0,0
f7dc-2q9f,"This dataset focuses on the detection of SARS-CoV-2 in wastewater, providing valuable insights for wastewater-based epidemiology. It includes samples collected from various locations, identified by their respective names and abbreviations, with a temporal coverage spanning from September 2020 to March 2026. The dataset features 499 unique sample dates and 522 unique test dates, allowing for detailed temporal analysis. Each entry records the number of viral copies per liter and the corresponding average flow rate, with measurements ranging from 30 to over 2 million copies per liter. Annotations provide context for specific results, such as duplicate analyses or issues with sample integrity. The dataset serves a diverse population, with coverage extending from approximately 118,000 to over 1.2 million individuals. Utilizing advanced technologies like RT-qPCR and dPCR, this dataset is essential for monitoring and understanding the spread of COVID-19 through wastewater analysis.","This dataset focuses on the monitoring of SARS-CoV-2 in wastewater, providing valuable insights into the presence of the virus in various neighborhoods. It includes sample and test dates from September 2020 to February 2026, with data collected from 14 different wastewater treatment facilities. The dataset features measurements of viral copies per liter and their correlation with average flow rates, serving a population of over 1.2 million. Annotations provide context for specific results, enhancing the understanding of the data. This dataset is essential for public health officials and researchers studying the spread of COVID-19 through wastewater analysis.",3,2,1,0,1,1,1,1,0,0
rsgh-akpg,"This dataset contains detailed records of dog bite incidents, with a total of 12,383 unique cases documented from March 16, 2015, to October 25, 2024. Each entry includes a unique identifier, the date of the incident, the species (all entries are dogs), breed, age, gender, spay/neuter status, borough, and zip code. The dataset features 2,075 unique breeds and captures a wide range of ages, with specific notes indicating whether the age is in months or years. The gender of the dogs is categorized as male, female, or unknown, while the spay/neuter status indicates whether the dog has undergone the procedure. This dataset can be utilized for analyzing trends in dog bite incidents across different boroughs and breeds, assessing the effectiveness of spay/neuter programs, and informing public health initiatives aimed at reducing dog bite occurrences.

Column constraints outlined in Data Dictionary:
age: Numeric values; may include 'M' for months; valid formats include integers and integers followed by 'M' or 'Y' for years.  
gender: Allowed values are M (Male), F (Female), U (Unknown).  
spayneuter: Allowed values are True (reported as Spayed or Neutered), False (Unknown or Not Spayed or Neutered).  
borough: Allowed values include specific borough names and 'Other' for bites outside New York City.  
zipcode: Numeric values; blank indicates information was not available; may include decimal points.","This dataset contains information on dog bite incidents, including details such as the unique identifier, date of the bite, species, breed, age, gender, spay/neuter status, borough, and zipcode. It features 100 unique entries, with data spanning from March 2015 to November 2024. The dataset includes a variety of breeds and ages, providing a comprehensive overview of dog bite incidents across different boroughs. It can be utilized for analyzing trends in dog bites, understanding breed-related risks, and informing public safety measures. The dataset's semantic profile highlights its temporal and spatial dimensions, making it valuable for geographic and temporal analysis.",4,3,1,0,1,1,1,1,1,1
dsg6-ifza,"This dataset contains comprehensive information on childcare facilities in New York City, focusing on inspections, permits, and violations. It includes details such as the center name, legal name, address, contact information, permit status, age range of children served, maximum capacity, and various violation rates. The dataset spans multiple years, with temporal coverage for permit expiration and inspection dates, allowing for analysis of compliance trends over time. Each entry provides insights into the facility's operational status, types of violations encountered, and the outcomes of inspections, categorized into public health hazards, critical violations, and general violations. This dataset is valuable for researchers, policymakers, and parents seeking to understand the quality and safety of childcare services, as well as for monitoring compliance with health regulations and improving childcare standards across the city.

Column constraints outlined in Data Dictionary:
centername: min_length: 1; max_length: 255; required: Y  
legalname: min_length: 1; max_length: 255; required: Y  
street: min_length: 1; max_length: 130; required: Y  
borough: min_length: 1; max_length: 20; required: Y  
zipcode: min_length: 1; max_length: 10; required: Y  
phone: min_length: 1; max_length: 20; required: N  
permitnumber: min_length: 0; max_length: 7; required: N  
permitexp: required: Y  
status: min_length: 1; max_length: 50; required: Y  
maximumcapacity: min_length: 1; max_length: 4; required: N  
dc_id: min_length: 1; max_length: 20; required: Y  
actual: min_length: 0; max_length: 1; expected_values: Y, N, Null; required: N  
violationcategory: min_length: 0; max_length: 100; expected_values: Public Health Hazard, Critical, General, null/blank; required: N  
violationstatus: min_length: 0; max_length: 20; expected_values: Open, Corrected, N/A; required: N  
inspectionsummaryresult: min_length: 0; max_length: 1000; required: N","This dataset contains comprehensive information on childcare facilities, including their names, locations, contact details, and inspection results. It features data on permit statuses, age ranges served, maximum capacities, and various violation rates, providing insights into compliance with health and safety regulations. The dataset spans a temporal coverage from 1999 to 2117, allowing for historical analysis and trend identification. It can be utilized for monitoring childcare quality, ensuring regulatory compliance, and enhancing public health initiatives. This resource is essential for parents, policymakers, and researchers interested in the standards and safety of childcare services.",4,2,1,0,1,1,1,1,1,0
cwmx-mvra,"This dataset provides a comprehensive overview of COVID-19 outcomes in New York City, capturing critical metrics such as the number of residents tested, confirmed cases, hospitalizations, and deaths. The data spans from January 21, 2020, to September 24, 2021, with daily resolution for both specimen and extract dates, allowing for detailed temporal analysis. It includes 532 unique extract dates and 643 unique specimen dates, reflecting the dynamic nature of the pandemic. The dataset contains 14,740 records of individuals tested, 6,344 confirmed cases, 1,868 hospitalizations, and 915 deaths, offering valuable insights into the impact of SARS-CoV-2. This dataset is essential for researchers and public health officials aiming to analyze trends, evaluate healthcare responses, and inform policy decisions related to COVID-19. By utilizing the latest extract date, users can ensure accurate assessments of the evolving situation.

Column constraints outlined in Data Dictionary:
extract_date: must be a valid date in ISO 8601 format; must not be null; only the latest extract date should be used for analysis  
specimen_date: must be a valid date in ISO 8601 format; must not be null  
number_tested: must be a non-negative integer; must not be null  
number_confirmed: must be a non-negative integer; must not be null  
number_hospitalized: must be a non-negative integer; must not be null  
number_deaths: must be a non-negative integer; must not be null","This dataset provides a comprehensive analysis of COVID-19 outcomes, including key metrics such as the number of tests conducted, confirmed cases, hospitalizations, and deaths. It spans from April 16, 2020, to September 24, 2021, with specimen dates ranging from January 5, 2020, to April 29, 2021. The dataset contains 100 unique entries, with measurements on the number of tests, confirmed cases, hospitalizations, and deaths, offering valuable insights into the pandemic's impact on public health. Researchers and policymakers can utilize this data to assess trends, evaluate healthcare responses, and inform future strategies in managing COVID-19.",2,2,0,0,1,1,1,1,0,0
y4fw-iqfr,"This dataset contains information on cooling tower registrations in New York City, including details such as the building identification number (BIN), system ID, registration date, address, borough, ZIP code, sample dates, number of active equipment, and geographic coordinates (latitude and longitude). It features 3,951 unique BINs and 4,916 unique system IDs, with data spanning from August 17, 2015, to July 28, 2019. The dataset provides valuable insights into the locations and operational status of cooling towers, which are essential for public health and safety monitoring. Each entry includes the borough and community board, allowing for spatial analysis of cooling tower distribution across the city. This dataset can be utilized by urban planners, public health officials, and researchers to assess compliance with regulations, track maintenance schedules, and analyze the impact of cooling towers on local environments.

Column constraints outlined in Data Dictionary:
bin: 7-digit number; must start with a borough code; may contain all zeroes indicating unassigned BIN  
system_id: 10-digit number; must start with the digit ""2""  
date_registered: Date format YYYY-MM-DD  
borough: Allowed values: Manhattan, Queens, Brooklyn, Bronx, Staten Island  
zip: 5-digit number  
sampledates: Text; may contain multiple dates in MM/DD/YYYY format; blank indicates no sample dates reported  
activeequipment: 2-digit number; must be non-negative  
bbl: 10-digit number; must contain a borough code, a 5-byte tax block, and a 4-byte tax lot  
latitude: Number; must be within the range of -90 to 90 degrees  
longitude: Number; must be within the range of -180 to 180 degrees  
community_board: 3-digit number; first digit is a borough code  
council_district: 2-digit number  
census_tract: 6-digit number  
ntacode: 4-character alpha-numeric","This dataset contains information on Cooling Tower Registrations, including details such as the registration date, address, borough, and geographic coordinates. It features 100 unique entries, with data spanning from August 16, 2015, to March 13, 2025. The dataset includes various identifiers, such as system IDs and BBLs, as well as temporal data related to sample dates. The spatial coverage encompasses multiple boroughs and zip codes, providing valuable geolocation data. This dataset can be utilized for monitoring compliance with cooling tower regulations, analyzing trends in cooling tower registrations, and supporting public health initiatives related to waterborne pathogens.",3,3,0,0,1,1,1,1,1,1
9jgj-bmct,"This dataset contains detailed records of indoor complaints reported to the 311 service, focusing on issues such as air quality, mold, and ventilation across various neighborhoods in New York City. It includes 107,565 unique complaint identifiers, with incidents spanning from October 2010 to February 2026, providing a comprehensive temporal coverage. The dataset features spatial data, including incident addresses and geographic coordinates, allowing for precise location tracking of complaints. Each entry includes information on the complaint type, descriptor, status, and the community board and council district associated with the incident. This dataset can be utilized for analyzing trends in indoor air quality complaints, identifying areas with frequent issues, and informing public health initiatives. It serves as a valuable resource for researchers, policymakers, and community organizations aiming to improve living conditions and address environmental health concerns in urban settings.","This dataset contains detailed records of indoor complaints reported to the 311 service, focusing on issues such as air quality, mold, and sewage odors. It includes 100 unique complaints, with data spanning from March 2011 to March 2026. Each entry provides information on the complaint number, incident address, complaint type, and status, along with geographic coordinates for precise location tracking. The dataset can be utilized for analyzing trends in indoor environmental complaints, assessing public health concerns, and informing policy decisions related to urban living conditions. It serves as a valuable resource for researchers, city planners, and public health officials.",3,2,0,0,1,1,1,1,1,0
8vwk-6iz2,"This dataset provides comprehensive information on NYC Farmers Markets, detailing their operational years, locations, and services. It includes data on 17 unique years, covering markets across five boroughs, with specific street addresses and community districts. The dataset captures essential operational details such as days and hours of operation, whether markets accept EBT, and if they are open year-round. The spatial data includes latitude and longitude coordinates for precise location mapping. Additionally, the dataset highlights the community districts, which are vital for understanding local governance and community engagement in these markets. This dataset can be utilized for various purposes, including research on food accessibility, community health initiatives, and urban planning, making it a valuable resource for policymakers, researchers, and community organizations interested in promoting local food systems and enhancing public health in New York City.

Column constraints outlined in Data Dictionary:
community_district: Only available for years 2016-2025; must be a valid community district identifier in NYC (e.g., numeric values representing community districts)","This dataset provides comprehensive information on NYC Farmers Markets, including details such as market names, locations, operational days, and hours. It covers a temporal range from 2008 to 2024, with data on 100 unique markets across five boroughs. Each entry includes geographic coordinates, allowing for precise mapping. The dataset also indicates whether markets accept EBT and if they operate year-round. This information is valuable for researchers, policymakers, and community organizations aiming to promote local food access and support sustainable agriculture initiatives in New York City.",2,2,0,0,1,1,1,1,0,0
